,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
48,1.7929349637172014,9,121,0.48200000000000004,0.56,6.0405803231383395,5.708019698495286,1.4339884361252189
116,1.7931416750539608,27,91,0.7140000000000001,0.39,2.957998526094867,0.3042574794846131,0.9848529109731315
215,1.7932102571555797,10,122,0.675,0.22,1.9411271739413325,7.4622565349997245,1.721456527011469
82,1.793536142120084,12,77,0.49,0.34700000000000003,0.7759645181711656,4.476924683450808,1.0444560020696372
79,1.793895693879476,19,82,0.6609999999999999,0.295,5.438510053952641,3.9867592286791886,1.1955231798347086
47,1.7948712397249567,6,72,0.303,0.374,1.3506511390958869,4.286537793905449,1.10621662507765
24,1.7951624516315898,16,69,0.534,0.589,1.5926619399861923,4.5852045037546265,1.1872801769059151
45,1.7961807441217803,12,92,0.84,0.48200000000000004,8.362977993216184,2.384104981906029,1.0060656650457531
133,1.7961912314270514,24,128,0.634,0.34299999999999997,5.36427462824298,1.882014521011221,1.002285653958097
147,1.7965213638485074,9,101,0.7020000000000001,0.531,4.0277805971968865,1.3981802678213735,1.4953784099780023
42,1.796730055864994,2,51,0.555,0.945,4.384148740743783,3.3767752788764387,0.9961132779717444
181,1.7969003388949605,12,58,0.7140000000000001,0.295,0.979904921027261,8.914384267446856,1.3434477851260451
129,1.797118227462172,16,104,0.6709999999999999,0.79,7.2396971692339696,5.893872759577383,1.1178038117941471
29,1.7975457898210236,13,65,0.5660000000000001,0.513,3.31949000801188,5.797048685293625,1.994290778879076
61,1.798490773441931,8,58,0.52,0.10400000000000001,6.805677824366898,6.858155572191692,1.0007122710812837
117,1.7985544393024535,6,71,0.644,0.479,6.6295935751985215,1.5866457777046623,1.0222643411252648
92,1.7986206591969152,2,119,0.7120000000000001,0.495,9.855170502329958,1.6430117222370788,1.1010372028686106
68,1.7988416269817795,17,105,0.732,0.603,4.120456591633999,0.5600317662784617,1.4721014678943902
189,1.7988966981605092,20,51,0.84,0.5589999999999999,0.748248935379564,7.233380882286571,1.4313861031550914
245,1.7993005140238894,14,118,0.758,0.48,0.553853658489402,6.103425270716278,2.0661143879406154
55,1.7993648052658042,16,48,0.778,0.32,1.8946516768605,8.912088171064465,0.9355181909631938
80,1.8001335587750027,17,90,0.508,0.248,2.0510365316832555,3.0342009343811154,1.31122078304179
13,1.8005546589922925,23,74,0.45299999999999996,0.802,6.3830298435800685,2.92565030151815,1.0633532088249922
28,1.8014026275546309,7,85,0.369,0.535,5.526891049273108,4.028498009287904,1.373690338106826
90,1.8015115475839532,16,94,0.436,0.655,0.2567258702311723,0.898663588185765,1.0068256771191957
88,1.801827785668308,13,89,0.687,0.397,5.701194245872906,6.149894867907468,1.4048941999208182
44,1.8018358075781509,3,78,0.644,0.852,7.245062661299161,9.222867789694149,1.3959156221244484
40,1.8019574156652098,15,41,0.418,0.436,4.847666367080921,2.5922751853472463,0.8165442571043968
199,1.803051575948267,14,111,0.557,0.429,0.4766881892852046,5.075662486908076,1.5425946300383655
218,1.803291548843328,12,56,0.321,0.475,0.8558315228776492,6.156524573052847,0.8575783718843013
85,1.8038600801657452,18,86,0.5770000000000001,0.261,3.2250255338780107,2.8566211061846265,1.048755404073745
125,1.8042991295770736,14,109,0.264,0.765,1.975226689260349,0.1275784496654746,1.2241128329187632
84,1.8045234187459327,9,107,0.40700000000000003,0.439,2.9641498672967637,4.996732111948719,1.366016442887485
81,1.8052467105639636,20,123,0.615,0.213,1.2526651423929622,3.278615902729224,1.1211159860249609
246,1.8060375071906705,25,80,0.35700000000000004,0.609,2.5617173944229528,6.606108265672347,1.555378443095833
54,1.8062445210437328,21,39,0.86,0.257,0.4946054484208728,0.2322500627427768,0.8226285290438682
227,1.8063509864088851,18,48,0.69,0.723,1.067181924273597,7.994971494203843,0.8729077239986509
233,1.8064774203935712,13,61,0.782,0.40299999999999997,0.3108095194264535,5.272582614512968,1.1162386019714177
31,1.807743105385583,11,118,0.474,0.736,0.20103402826358074,4.2891930857604414,1.7862748838961124
191,1.8077608952135111,16,49,0.698,0.321,1.9265622896954284,6.8935972194738495,0.8938937338534743
53,1.8080921293619807,19,45,0.742,0.38,0.9374501592602308,9.80272706563414,0.8732743149157614
35,1.808155190465604,20,96,0.768,0.882,7.524580257032429,5.865598684451364,1.0853308408986777
60,1.808533373694504,28,63,0.638,0.406,3.5249712128315314,1.0893471869115483,1.0420155429746956
59,1.8086408781853536,6,38,0.675,0.557,4.98227738878984,1.7665606700890757,0.7735237418673933
7,1.809866329672709,21,51,0.619,0.36,3.1833797142106546,9.278825015698027,0.9409622650127858
46,1.8102800223664712,21,82,0.605,0.636,2.828872351852933,7.0855519679924175,1.2307930451352151
128,1.8107973070165329,15,83,0.479,0.45299999999999996,0.7353439061245339,2.99924305649746,1.1555286010261625
89,1.8109428482954508,20,81,0.45899999999999996,0.35100000000000003,1.5553272087745482,2.4104431498684677,0.7664345549419522
119,1.811143699810272,4,68,0.899,0.545,8.552791192122656,0.6903371749917616,0.8284000200219452
118,1.8111654505567305,31,100,0.385,0.31,3.420404795293399,1.014900266317179,0.9887834580149502
22,1.8113969323241388,16,35,0.38299999999999995,0.997,2.28299013622554,6.432923717701232,0.56828927481547
111,1.8114302010937733,1,66,0.7759999999999999,0.733,5.936742995725973,3.808517166696895,1.3536084040533751
206,1.8116190418067293,22,53,0.7,0.552,0.9514636295527314,7.257026615585143,0.6925145101267844
166,1.8118845012303504,1,115,0.23,0.485,0.8595952051267448,8.113680105335096,1.7287513201590627
57,1.8127832234836168,18,55,0.83,0.659,1.347804241262204,1.4641030662168213,1.0007456010207534
64,1.8129322358419184,25,79,0.565,0.784,2.4715808234708834,7.806594552747918,1.2083953300025314
103,1.814577951066316,6,103,0.8490000000000001,0.547,8.990031294075802,1.6473178290564665,1.0155121039133521
210,1.8160012879988732,15,107,0.754,0.616,9.582782499890197,4.936760086619558,1.5929906230885535
216,1.8170497652882804,4,44,0.81,0.7040000000000001,8.629791335985026,6.593075568554777,0.910073644015938
78,1.8175963436421172,24,85,0.551,0.324,2.746308637996428,3.6516322589493484,1.1765713188797235
188,1.8176673982679057,8,65,0.812,0.368,9.922597810883467,6.323628235671232,0.8921119449660182
18,1.8185245718843277,10,124,0.8590000000000001,0.8270000000000001,8.885243914851387,6.5178147791109255,1.1503092760685831
208,1.8187712189965768,28,128,0.619,0.4,1.2781544685527806,5.466776684592258,1.3233485899399966
32,1.821218225293596,14,76,0.325,0.665,4.728080133885224,7.221605655829982,1.2271090559661388
238,1.8232065205718961,26,128,0.207,0.496,7.619305704332709,7.918624177163853,0.8153501169290394
15,1.8260635805870595,25,126,0.644,0.20800000000000002,9.599651124991944,0.7312423322706039,0.980085430899635
243,1.8264106466446344,21,122,0.8,0.5670000000000001,1.9901094370968615,8.574313019412656,2.593466243008152
168,1.8264970810205232,8,112,0.192,0.271,0.4815022589080575,9.17796159306193,1.490060401149094
101,1.8272677753281328,36,126,0.602,0.23199999999999998,7.059820002997303,1.1247842289185823,0.9673125089611858
229,1.827611817704457,7,66,0.5770000000000001,0.564,9.352997605242466,5.907279565864776,1.2262728428468108
25,1.82772678371976,1,105,0.193,0.731,4.062385716746056,6.549515641628734,6.248745560878887
219,1.82795679877188,19,111,0.8240000000000001,0.449,0.5120895657199374,7.108765792750829,1.1237871518824252
30,1.8300015092873059,1,99,0.221,0.452,5.2322941031879004,3.0876170914454817,2.1084998038131744
202,1.8300098654954664,9,117,0.588,0.583,8.177084057527374,9.681101404879604,1.1689605459105223
5,1.8308315883436441,4,91,0.331,0.183,9.503347652803733,5.5176830836776,1.231044804910198
137,1.8315658199960183,26,106,0.687,0.966,9.239587810721046,1.0820796451523385,0.8377235590014607
205,1.8316552686837024,17,99,0.873,0.354,0.128637440409415,7.9408236036888935,1.7136316259857267
49,1.83205360613452,25,60,0.687,0.894,0.5027854390122641,6.2298417183125405,0.8542436608113348
38,1.8325561164633157,18,71,0.17,0.977,1.1215432599437252,0.210946938306658,22.051449652062733
