,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
125,1.5196745351417231,14,111,0.7609999999999999,0.6679999999999999,7.274051465198207,1.2552679323844242,1.2197784408926964
224,1.5208974166797664,8,30,0.644,0.599,2.833071472628343,5.601472721699584,0.6335226329974829
112,1.5224892864835209,35,77,0.568,0.20800000000000002,4.953510083946382,5.419907705176136,1.1415420100092888
18,1.5264788473401818,5,65,0.698,0.732,5.6881945737433846,5.694975268201856,1.2564976089634
141,1.5267753676050433,16,65,0.8370000000000001,0.946,6.66587179380136,1.0450621017338395,1.1322436658665538
8,1.529286790532179,7,51,0.185,0.782,1.0760893856184208,2.7635053086625136,0.7487122078891844
52,1.5313975629402374,25,78,0.263,0.6629999999999999,2.2333539276558336,2.5783114016338797,2.1541285410057758
48,1.5328655701951417,27,116,0.5529999999999999,0.917,4.072314747475136,8.954557106892517,1.6738500299397856
204,1.5351983016867088,19,34,0.375,0.981,2.973343698537436,4.570164353751443,0.8984367290977389
134,1.5374054707880245,19,128,0.385,0.9359999999999999,4.243902094508665,0.5408286652394002,1.463225808925927
174,1.5396171642918484,27,81,0.35700000000000004,0.691,2.396627624941667,2.1494360272279187,1.3642768510617316
185,1.5420499467859263,14,62,0.38,0.669,3.287669515369488,1.4619957632776317,1.0107805819716305
200,1.5427849700904759,24,32,0.266,0.6409999999999999,0.4586677756181302,2.4584746896041016,0.5283714500255883
5,1.5456578733359538,6,32,0.643,0.456,3.0942273933246613,9.681381621512056,0.6591665779706091
244,1.5486284711098008,25,53,0.243,0.617,0.7814669595962007,2.729259575940464,0.7819875178392977
203,1.5514036378972405,14,46,0.39799999999999996,0.9329999999999999,5.39411615228764,2.7272738575440805,1.0049724369309845
15,1.5532901679535762,11,107,0.257,0.46799999999999997,2.4644294724128493,2.8845332670502315,1.524837499950081
6,1.5561850979010303,4,126,0.37799999999999995,0.39299999999999996,5.9978518104245,8.455930837330856,1.542020524153486
62,1.5592297372858923,8,31,0.396,0.265,4.6263971508291135,2.476813069577914,0.5810458089690655
100,1.5606491455391802,5,74,0.344,0.8590000000000001,2.8663154686093053,1.1142379783145064,1.1959446999244392
228,1.5628293525743868,26,44,0.301,0.74,4.206649368416676,1.563631771165234,0.8121923261787742
93,1.5642536450440891,27,60,0.575,0.679,6.68918817441145,4.866029007126169,0.964016652200371
104,1.5645219247284947,10,127,0.423,0.877,7.159469412098789,6.412871718404434,1.3491190529894084
